adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count,year
False,"[10749, 18]",1231813,ko,자매의 스와핑,"Sisters Ji-soo and Ji-yeong decided to sell their used underwear due to financial difficulties. Perverted men offer to buy them at a higher price by asking these two sisters for shots of them wearing the underwear. Other men offer to pay even higher prices by demanding sex out of greater desire. As the sisters earn more money than expected, their service becomes more and more popular.",14.2714,2023-12-19,Sister Swapping,False,6.6,14,2023
False,"[10402, 35]",975225,en,Spinal Tap II: The End Continues,"The now estranged bandmates of Spinal Tap are forced to reunite for one final concert, hoping it will solidify their place in the pantheon of rock 'n' roll.",26.3853,2025-09-12,Spinal Tap II: The End Continues,False,6.8,20,2025
False,[35],1358831,es,Voy a pasármelo mejor,Sin descripción,21.9851,2025-07-18,Voy a pasármelo mejor,False,7.929,7,2025
False,[18],1033148,en,Die My Love,"Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in Montana, her increasingly agitated and erratic behaviour leaves her companion, Jackson, worried and helpless.",25.4301,2025-10-06,Die My Love,False,6.8,24,2025
False,"[18, 10749]",1549512,tl,Nympho,A woman seeking excitement meets a man who brings light and meaning to her world.,24.3173,2025-11-07,Nympho,False,8.0,17,2025
False,"[27, 53, 9648]",1328402,en,The People In The Walls,A viral ritual allows three kids to conjure people from the walls as they must now try to put them back before it is too late.,24.5938,2024-08-01,The People In The Walls,False,5.2,6,2024
False,[18],1249423,zh,狗阵,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",22.6807,2024-06-15,Black Dog,False,7.228,180,2024
False,"[28, 53, 18]",1119878,en,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",25.9701,2025-06-27,Ice Road: Vengeance,False,6.3,510,2025
False,"[10751, 35, 12, 16, 14]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",25.4454,2024-11-21,Moana 2,False,7.024,2779,2024
False,"[28, 80, 53]",1382406,zh,惊天大营救,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.,25.4016,2024-12-05,Striking Rescue,False,7.529,139,2024
False,"[28, 27, 10749]",986206,fr,Night Carnage,A blogger who is also a werewolf meets a dashing playboy with a dark secret of his own. Starring Logan Andrews and Christian Howard.,24.8902,2025-07-29,Night Carnage,False,5.75,60,2025
